"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C2";"C_0805_HandSoldering";2;"100nF";;;
2;"D1";"D_SOD-123";1;"1N4148";;;
3;"D2";"D_SOD-123F";1;"1N4001";;;
4;"J1";"TerminalBlock_Philmore_TB133_03x5mm_Straight";1;"Conn_01x03";;;
5;"J2,J5,J9,J10,J6";"TerminalBlock_Philmore_TB132_02x5mm_Straight";5;"Conn_01x02";;;
6;"J3,J4,J7";"Pin_Header_Straight_1x03_Pitch2.54mm";3;"Conn_01x03";;;
7;"J8";"Pin_Header_Straight_1x03_Pitch2.00mm";1;"Conn_01x03";;;
8;"R1";"R_0805_HandSoldering";1;"1K2";;;
9;"R2";"R_0805_HandSoldering";1;"430";;;
10;"R3";"R_0805_HandSoldering";1;"470";;;
11;"RV1";"Potentiometer_Bourns_3314G_Vertical";1;"1k5";;;
12;"RV2";"Potentiometer_Bourns_3314G_Vertical";1;"2k";;;
13;"T1,T2";"Transformer_Bourns_SM-LP-5001";2;"600:600";;;
14;"U1";"DIP-6_W7.62mm_SMD";1;"4N25";;;
